,timestamp,open,high,low,close
0,2024-06-24T15:15:00+05:30,23547.0,23553.1,23532.9,23545.2
1,2024-06-24T14:45:00+05:30,23519.6,23550.25,23492.25,23545.95
2,2024-06-24T14:15:00+05:30,23520.1,23531.75,23504.5,23519.9
3,2024-06-24T13:45:00+05:30,23536.6,23548.4,23511.0,23519.95
4,2024-06-24T13:15:00+05:30,23546.55,23555.25,23527.6,23536.2
5,2024-06-24T12:45:00+05:30,23522.1,23547.6,23513.65,23546.6
6,2024-06-24T12:15:00+05:30,23534.7,23558.1,23520.2,23522.1
7,2024-06-24T11:45:00+05:30,23501.55,23543.55,23491.5,23534.65
8,2024-06-24T11:15:00+05:30,23497.35,23544.9,23495.95,23501.9
9,2024-06-24T10:45:00+05:30,23479.5,23525.2,23465.7,23497.05
10,2024-06-24T10:15:00+05:30,23446.2,23481.35,23430.75,23480.1
11,2024-06-24T09:45:00+05:30,23386.4,23454.6,23382.95,23445.75
12,2024-06-24T09:15:00+05:30,23382.3,23439.2,23350.0,23386.75
13,2024-06-21T15:15:00+05:30,23476.45,23489.9,23445.65,23455.85
14,2024-06-21T14:45:00+05:30,23460.45,23566.15,23459.65,23476.2
15,2024-06-21T14:15:00+05:30,23567.1,23577.3,23398.2,23460.55
16,2024-06-21T13:45:00+05:30,23466.95,23585.7,23462.5,23567.2
17,2024-06-21T13:15:00+05:30,23452.5,23489.6,23442.25,23467.25
18,2024-06-21T12:45:00+05:30,23460.6,23473.8,23422.4,23453.25
19,2024-06-21T12:15:00+05:30,23539.25,23546.35,23455.45,23460.3
20,2024-06-21T11:45:00+05:30,23548.15,23551.5,23524.6,23539.3
21,2024-06-21T11:15:00+05:30,23529.5,23561.9,23507.0,23548.1
22,2024-06-21T10:45:00+05:30,23544.8,23547.15,23491.5,23529.05
23,2024-06-21T10:15:00+05:30,23585.25,23610.95,23541.1,23546.2
24,2024-06-21T09:45:00+05:30,23588.4,23622.45,23567.05,23584.75
25,2024-06-21T09:15:00+05:30,23661.15,23667.1,23576.1,23589.55
26,2024-06-20T15:15:00+05:30,23566.2,23587.8,23559.85,23578.85
27,2024-06-20T14:45:00+05:30,23581.25,23581.35,23536.35,23566.85
28,2024-06-20T14:15:00+05:30,23563.35,23600.5,23556.35,23579.55
29,2024-06-20T13:45:00+05:30,23611.9,23612.2,23532.5,23562.75
30,2024-06-20T13:15:00+05:30,23552.45,23624.0,23551.0,23612.35
31,2024-06-20T12:45:00+05:30,23538.15,23572.4,23532.5,23552.5
32,2024-06-20T12:15:00+05:30,23556.9,23561.95,23535.0,23538.25
33,2024-06-20T11:45:00+05:30,23553.35,23569.3,23545.15,23556.6
34,2024-06-20T11:15:00+05:30,23533.05,23555.95,23524.05,23552.55
35,2024-06-20T10:45:00+05:30,23531.8,23563.4,23517.3,23533.65
36,2024-06-20T10:15:00+05:30,23488.25,23539.0,23478.05,23531.9
37,2024-06-20T09:45:00+05:30,23508.6,23518.3,23442.6,23487.35
38,2024-06-20T09:15:00+05:30,23586.15,23587.7,23461.75,23508.0
39,2024-06-19T15:15:00+05:30,23509.8,23528.45,23504.6,23521.6
40,2024-06-19T14:45:00+05:30,23611.65,23635.75,23484.15,23511.0
41,2024-06-19T14:15:00+05:30,23560.45,23664.0,23545.85,23611.45
42,2024-06-19T13:45:00+05:30,23538.65,23571.5,23515.8,23560.65
43,2024-06-19T13:15:00+05:30,23552.1,23555.75,23513.5,23538.9
44,2024-06-19T12:45:00+05:30,23559.7,23563.0,23527.0,23552.1
45,2024-06-19T12:15:00+05:30,23557.05,23574.2,23543.05,23559.35
46,2024-06-19T11:45:00+05:30,23542.1,23556.65,23526.35,23556.35
47,2024-06-19T11:15:00+05:30,23504.0,23546.25,23478.55,23542.1
48,2024-06-19T10:45:00+05:30,23460.35,23520.7,23435.5,23503.65
49,2024-06-19T10:15:00+05:30,23523.05,23532.6,23412.9,23461.05
50,2024-06-19T09:45:00+05:30,23579.65,23595.7,23523.0,23523.05
51,2024-06-19T09:15:00+05:30,23629.85,23630.85,23532.1,23580.3
52,2024-06-18T15:15:00+05:30,23556.2,23572.1,23554.55,23560.7
53,2024-06-18T14:45:00+05:30,23534.95,23556.95,23531.85,23555.75
54,2024-06-18T14:15:00+05:30,23539.55,23547.3,23527.95,23534.55
55,2024-06-18T13:45:00+05:30,23538.5,23550.1,23530.7,23539.5
56,2024-06-18T13:15:00+05:30,23532.6,23542.8,23523.85,23538.1
57,2024-06-18T12:45:00+05:30,23526.1,23536.6,23520.2,23532.35
58,2024-06-18T12:15:00+05:30,23533.9,23541.4,23513.7,23527.45
59,2024-06-18T11:45:00+05:30,23542.25,23546.7,23532.05,23533.75
60,2024-06-18T11:15:00+05:30,23541.3,23557.35,23537.3,23542.25
61,2024-06-18T10:45:00+05:30,23535.95,23551.25,23526.95,23540.5
62,2024-06-18T10:15:00+05:30,23542.35,23556.2,23512.85,23536.35
63,2024-06-18T09:45:00+05:30,23553.95,23579.05,23542.35,23542.35
64,2024-06-18T09:15:00+05:30,23570.8,23573.85,23499.7,23553.7
65,2024-06-14T15:15:00+05:30,23472.4,23473.35,23444.6,23453.9
66,2024-06-14T14:45:00+05:30,23455.8,23490.4,23453.45,23471.9
67,2024-06-14T14:15:00+05:30,23446.15,23465.2,23442.1,23455.5
68,2024-06-14T13:45:00+05:30,23442.35,23451.9,23424.15,23446.35
69,2024-06-14T13:15:00+05:30,23459.35,23463.55,23435.35,23442.7
